Category,Description,Caption,Shape,BGColour,BDColour,Text,Symbol1,Symbol2,DGNo,JPG,EPS,PDF
On-street parking,Entrance to a controlled parking zone applying to goods vehicles over a gross weight of 5T during the period indicated,Entrance to a controlled parking zone applying to goods vehicles over a gross weight of 5T during the period indicated,Rectangular,White,Grey/Black,Number (Other),Vehicle (Car/Tram/Truck),Other,665,665.jpg,665.eps,Not available
On-street parking,End of a controlled parking zone applying to goods vehicles over a gross weight of 7.5T,End of a controlled parking zone applying to goods vehicles over a gross weight of 7.5T,Rectangular,White,Grey/Black,Zone,Vehicle (Car/Tram/Truck),Other,666,666V.jpg,666V.eps,Not available
On-street parking,Entrance to a controlled parking zone applying to goods vehicles over a gross weight of 7.5T during the period indicated,Entrance to a controlled parking zone applying to goods vehicles over a gross weight of 7.5T during the period indicated,Rectangular,White,Grey/Black,Number (Other),Vehicle (Car/Tram/Truck),Other,665,665V.jpg,665V.eps,Not available
On-street parking,Disc zone parking place where the waiting period is limited and display of a disc is required,Disc zone parking place where the waiting period is limited and display of a disc is required,Rectangular,White,Grey/Black,Zone,Parking [P],None,662,662.jpg,662.eps,Not available
On-street parking,Entrance to voucher parking zone in operation during the period indicated,Entrance to voucher parking zone in operation during the period indicated,Rectangular,White,Grey/Black,Zone,Other,Other,663.1,663.1.jpg,663.1.eps,663.1.pdf
On-street parking,No stopping on main carriageway,No stopping on main carriageway,Circular,Blue,Red,None,Other,None,642,642.jpg,642.eps,Not available
On-street parking,Hazard or prohibition extends for 7 miles,Hazard or prohibition extends for 7 miles,Rectangular,White,Grey/Black,Number (Distance),None,None,570,570V.jpg,570V.eps,570V.pdf
On-street parking,Continuous prohibition on waiting except loading and unloading on the footway,Continuous prohibition on waiting except loading and unloading on the footway,Rectangular,Yellow,Grey/Black,Other,Other,None,637.1,637.1F.jpg,637.1F.eps,Not available
On-street parking,Continuous prohibition on waiting except loading and unloading on the verge,Continuous prohibition on waiting except loading and unloading on the verge,Rectangular,Yellow,Grey/Black,Other,Other,None,637.1,637.1V.jpg,637.1V.eps,637.1V.pdf
On-street parking,Continuous prohibition on waiting except loading and unloading on verge or footway,Continuous prohibition on waiting except loading and unloading on verge or footway,Rectangular,Yellow,Grey/Black,Other,Other,None,637.1,637.1.jpg,637.1.eps,637.1.pdf
On-street parking,End of restriction on stopping,End of restriction on stopping,Rectangular,Yellow,Grey/Black,Other,Other,None,647,647.jpg,647.eps,647.pdf
On-street parking,No stopping during periods indicated except to pick up or set down passengers,No stopping during periods indicated except to pick up or set down passengers,Rectangular,Yellow,Grey/Black,Number (Other),Other,None,646,646.jpg,646.eps,Not available
On-street parking,No stopping in lay-by except in emergency,No stopping in lay-by except in emergency,Rectangular,Yellow,Grey/Black,Other,Other,None,642.3,642.3.jpg,642.3.eps,642.3.pdf
On-street parking,No stopping for any purpose at any time,No stopping for any purpose at any time,Rectangle,White,Red,Other,None,None,0,DR507.jpg,DR507.eps,Not available
On-street parking,No stopping for any purpose during the period indicated,No stopping for any purpose during the period indicated,Rectangle,White,Red,Other,None,None,0,SR504.jpg,SR504.eps,SR504.pdf
On-street parking,No stopping for any purpose at any time except buses,No stopping for any purpose at any time except buses,Rectangle,White,Red,Other,None,None,0,DR508.jpg,DR508.eps,Not available
On-street parking,Entrance to red route clearway,Entrance to red route clearway,Rectangle,White,Red,Other,None,None,0,CW701.jpg,CW701.eps,CW701.pdf
On-street parking,Prohibition on stopping by vehicles other than taxis during the period indicated,Prohibition on stopping by vehicles other than taxis during the period indicated,Rectangular,Yellow,Grey/Black,Number (Other),Other,None,650.1,650.1.jpg,650.1.eps,Not available
On-street parking,Continuous prohibition on waiting by vehicles with an exemption for taxis during the period indicated,Continuous prohibition on waiting by vehicles with an exemption for taxis during the period indicated,Rectangular,Yellow,Grey/Black,Number (Other),Other,None,650.3,650.3.jpg,650.3.eps,Not available
On-street parking,"Prohibition on waiting by vehicles other than taxis during the period indicated (upper panel), and carriage way reserved for loading and unloading of goods vehicles during the period indicated","Prohibition on waiting by vehicles other than taxis during the period indicated (upper panel), and carriage way reserved for loading and unloading of goods vehicles during the period indicated",Rectangular,Yellow,Grey/Black,Number (Other),Parking [P],None,639.12,639.1B.jpg,639.1B.eps,639.1B.pdf
On-street parking,Information relating to a taxi rank for the number of taxis specified,Information relating to a taxi rank for the number of taxis specified,Rectangular,Blue,White,Number (Other),None,None,857.1,857.1.jpg,857.1.eps,Not available
Traffic calming,Road hump to the right and at 20 yards,Road hump to the right and at 20 yards,Rectangular,White,Grey/Black,Number (Distance),Arrow,None,557.4,557.4.jpg,557.4.eps,557.4.pdf
Traffic calming,Road humps ahead to the right for 300 yards,Road humps ahead to the right for 300 yards,Rectangular,White,Grey/Black,Number (Distance),Arrow,None,557.3,557.3.jpg,557.3.eps,557.3.pdf
Traffic calming,Road humps ahead for half a mile,Road humps ahead for half a mile,Rectangular,White,Grey/Black,Number (Distance),None,None,557.2,557.2.jpg,557.2.eps,557.2.pdf
Traffic calming,Road hump or series of road humps ahead,Road hump or series of road humps ahead,Triangular,White,Red,None,Other,None,557.1,557.1.jpg,557.1.eps,557.1.pdf
Traffic calming,Start of area with traffic calming features,Start of area with traffic calming features,Rectangular,Blue,White,Other,None,None,883,883.jpg,883.eps,883.pdf
Traffic calming,Crossing on road hump ahead,Crossing on road hump ahead,Rectangular,White,Grey/Black,Other,None,None,547.8,547.8.jpg,547.8.eps,547.8.pdf
Traffic calming,Traffic has priority over vehicles from the opposite direction,Traffic has priority over vehicles from the opposite direction,Rectangular,Blue,White,None,Arrow,Arrow,811,811.jpg,811.eps,811.pdf
Traffic calming,Traffic has priority over vehicles from the opposite direction,Traffic has priority over vehicles from the opposite direction,Rectangular,White,Grey/Black,Vehicle,None,None,811.1,811.1.jpg,811.1.eps,Not available
Traffic calming,Start of a designated home zone,Start of a designated home zone,Rectangular,Blue,White,Zone,Pedestrian,Vehicle (Car/Tram/Truck),881,881A.jpg,881A.eps,Not available
Traffic calming,Start of a designated quiet lane in England,Start of a designated quiet lane in England,Rectangular,Green,White,Other,Pedestrian,Cycle/Motorcycle,884,884V.jpg,884V.eps,Not available
Traffic calming,End of designated quiet lane in England,End of designated quiet lane in England,Rectangular,Green,White,Other,Pedestrian,Cycle/Motorcycle,885,885.jpg,885.eps,885.pdf
Traffic calming,Start of a designated quiet lane in England,Start of a designated quiet lane in England,Rectangular,Green,White,Other,Pedestrian,Cycle/Motorcycle,884,884.jpg,884.eps,Not available
Motorway signs,"Direction to a motorway at the junction shown, indicating route number","Direction to a motorway at the junction shown, indicating route number",Rectangular,Blue,White,Number (Route),Arrow,Other,2902.1,2902.1.jpg,2902.1.eps,2902.1.pdf
Motorway signs,"Direction to a motorway at the junction shown, indicating route number and destination reached along the motorway","Direction to a motorway at the junction shown, indicating route number and destination reached along the motorway",Rectangular,Blue,White,Number (Route),Arrow,Other,2902,2902.jpg,2902.eps,2902.pdf
Motorway signs,Number of route reached from a motorway exit road,Number of route reached from a motorway exit road,Rectangular,Blue,White,Number (Route),Arrow,Other,2910,2910.jpg,2910.eps,2910.pdf
Motorway signs,Number of route reached from a motorway exit road,Number of route reached from a motorway exit road,Rectangular,Blue,White,Number (Route),Arrow,Other,2910.1,2910.1.jpg,2910.1.eps,2910.1.pdf
Motorway signs,100 yards to a roundabout or the next point at which traffic may leave a route,100 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,825,825.jpg,825.eps,825.pdf
Motorway signs,200 yards to a roundabout or the next point at which traffic may leave a route,200 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,824,824.jpg,824.eps,Not available
Motorway signs,300 yards to a roundabout or the next point at which traffic may leave a route,300 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,823,823.jpg,823.eps,823.pdf
Motorway signs,"Motorway junction ahead, displaying the route number and destination reached by taking this route","Motorway junction ahead, displaying the route number and destination reached by taking this route",Rectangular,Blue,White,Number (Route),Arrow,Other,2903,2903.jpg,2903.eps,2903.pdf
Motorway signs,"Motorway junction, displaying route number and destination reached as well as destination reached by remaining on the motorway","Motorway junction, displaying route number and destination reached as well as destination reached by remaining on the motorway",Rectangular,Blue,White,Number (Route),Arrow,Other,2906,2906.jpg,2906.eps,2906.pdf
Motorway signs,300 yards to a roundabout or the next point at which traffic may leave a route,300 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,823,823R.jpg,823R.eps,823R.pdf
Motorway signs,200 yards to a roundabout or the next point at which traffic may leave a route,200 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,824,824R.jpg,824R.eps,824R.pdf
Motorway signs,100 yards to a roundabout or the next point at which traffic may leave a route,100 yards to a roundabout or the next point at which traffic may leave a route,Rectangular,Blue,White,None,Other,Other,825,825R.jpg,825R.eps,825R.pdf
Motorway signs,Junction ahead with another motorway,Junction ahead with another motorway,Rectangular,Blue,White,Number (Route),Other,Other,2912,2912.jpg,2912.eps,2912.pdf
Motorway signs,Additional traffic lane joining from the left ahead in 200 yards. Traffic on the main carriageway has priority over joining traffic,Additional traffic lane joining from the left ahead in 200 yards. Traffic on the main carriageway has priority over joining traffic,Rectangular,Blue,White,None,Arrow,None,873,873+876.jpg,873+876.eps,Not available
Motorway signs,Additional traffic lanes joining from the right ahead. Traffic on the main carriageway has priority over joining traffic,Additional traffic lanes joining from the right ahead. Traffic on the main carriageway has priority over joining traffic,Rectangular,Blue,White,None,Arrow,None,874,874.jpg,874.eps,Not available
Motorway signs,Additional traffic lane joining from the left ahead,Additional traffic lane joining from the left ahead,Rectangular,Green,White,None,Arrow,None,868.1,868.1M.jpg,868.1M.eps,868.1M.pdf
Motorway signs,Additional traffic lane joining from the right ahead,Additional traffic lane joining from the right ahead,Rectangular,Green,White,None,Arrow,None,868,868M.jpg,868M.eps,868M.pdf
Motorway signs,Appropriate traffic lanes for different manoeuvres at a junction ahead,Appropriate traffic lanes for different manoeuvres at a junction ahead,Rectangular,White,Grey/Black,Bus,Arrow,Arrow,877,877M.jpg,877M.eps,Not available
Motorway signs,Motorway junction ahead leading to a town or geographical area containing several tourist attractions and a Tourist Information Point or Centre,Motorway junction ahead leading to a town or geographical area containing several tourist attractions and a Tourist Information Point or Centre,Rectangular,Brown,White,Other,None,None,2927,2927.jpg,2927.eps,2927.pdf
Motorway signs,Roundabout ahead leading from a motorway exit slip road to the tourist attractions shown,Roundabout ahead leading from a motorway exit slip road to the tourist attractions shown,Rectangular,Brown,White,Other,Other,Arrow,2925,2925.jpg,2925.eps,2925.pdf
Motorway signs,Junction ahead from a motorway exit slip road to the tourist attractions shown,Junction ahead from a motorway exit slip road to the tourist attractions shown,Rectangular,Brown,White,Number (Distance),Other,Arrow,2926,2924.jpg,2924.eps,2924.pdf
Motorway signs,Junction ahead from a motorway exit slip road to the tourist attractions shown,Junction ahead from a motorway exit slip road to the tourist attractions shown,Rectangular,Brown,White,Other,Other,Arrow,2924,2926.jpg,2926.eps,2926.pdf
Motorway signs,Exit from a motorway at a junction ahead that should be used for a tourist attraction,Exit from a motorway at a junction ahead that should be used for a tourist attraction,Rectangular,Brown,White,Other,Other,Arrow,2927.1,2927.1.jpg,2927.1.eps,2927.1.pdf
Motorway signs,Direction to a named service area and showing the name of the operator,Direction to a named service area and showing the name of the operator,Rectangular,Blue,White,Other,Arrow,None,2920.1,2920.1.jpg,2920.1.eps,2920.1.pdf
Motorway signs,10 miles to the next motorway service area,10 miles to the next motorway service area,Rectangular,Blue,White,Number (Distance),None,None,2918,2918.jpg,2918.eps,2918.pdf
Motorway signs,Availability of motorway service areas ahead with distances,Availability of motorway service areas ahead with distances,Rectangular,Blue,White,Number (Route),Other,Other,2917,2917V.jpg,2917V.eps,2917V.pdf
Motorway signs,Availability of motorway service areas ahead with distances and names of operators,Availability of motorway service areas ahead with distances and names of operators,Rectangular,Blue,White,Number (Route),Other,Other,2917,2917.jpg,2917.eps,2917.pdf
Motorway signs,Services are not available on motorway ahead,Services are not available on motorway ahead,Rectangular,Blue,White,Number (Route),None,None,2330,2918.1.jpg,2918.1.eps,2918.1.pdf
Motorway signs,Entrance to a motorway service area,Entrance to a motorway service area,Rectangular,Blue,White,Other,Arrow,Other,2921,2921.jpg,2921.eps,2921.pdf
Motorway signs,Entrance to a motorway service area at a junction ahead on a motorway slip road,Entrance to a motorway service area at a junction ahead on a motorway slip road,Rectangular,Blue,White,Other,Arrow,None,2921.1,2921.1.jpg,2921.1.eps,2921.1.pdf
Motorway signs,Direction to the nearest emergency telephone on the same side of the road,Direction to the nearest emergency telephone on the same side of the road,Rectangular,White,Grey/Black,None,Arrow,None,2713,2713.jpg,2713.eps,2713.pdf
Motorway signs,Route to be followed at a junction ahead on a motorway for destinations that are not otherwise shown on signs for that junction,Route to be followed at a junction ahead on a motorway for destinations that are not otherwise shown on signs for that junction,Rectangular,Blue,White,Number (Route),Other,Other,2915,2915.jpg,2915.eps,2915.pdf
Motorway signs,County boundary sign,County boundary sign,Rectangular,Blue,White,Other,None,None,2928,2928.jpg,2928.eps,2928.pdf
Motorway signs,Route number of the motorway with destinations and distances to places along or reached from that route,Route number of the motorway with destinations and distances to places along or reached from that route,Rectangular,Blue,White,Number (Route),Other,Other,2911,2911.jpg,2911.eps,2911.pdf
Motorway signs,No hard shoulder available for 400 yards,No hard shoulder available for 400 yards,Rectangular,Blue,White,Number (Distance),None,None,820.1,820.1.jpg,820.1.eps,820.1.pdf
Motorway signs,Entrance for works traffic only,Entrance for works traffic only,Rectangular,Blue,White,Other,Arrow,None,2922,2922.jpg,2922.eps,2922.pdf
Motorway signs,Drivers should check their distance from the vehicle in front,Drivers should check their distance from the vehicle in front,Rectangular,Blue,White,Other,None,None,2934,2934.jpg,2934.eps,2934.pdf
Motorway signs,"Motorway junction ahead leading to a route advised for goods vehicles to the destination shown, which may differ from that for other traffic","Motorway junction ahead leading to a route advised for goods vehicles to the destination shown, which may differ from that for other traffic",Rectangular,Grey/Black,White,Other,Vehicle (Car/Tram/Truck),None,2929,2929.jpg,2929.eps,2929.pdf
Motorway signs,Exit from a motorway junction ahead that should be used for a destination along the route advised for goods vehicles,Exit from a motorway junction ahead that should be used for a destination along the route advised for goods vehicles,Rectangular,Grey/Black,White,Number (Route),Vehicle (Car/Tram/Truck),None,2929.1,2929.1.jpg,2929.1.eps,2929.1.pdf
Motorway signs,Drivers should keep a distance of two chevron markings from the vehicle in front,Drivers should keep a distance of two chevron markings from the vehicle in front,Rectangular,Blue,White,Other,Vehicle (Car/Tram/Truck),Other,2933,2933.jpg,2933.eps,2933.pdf
Motorway signs,Drivers should keep their distance from the vehicle in front,Drivers should keep their distance from the vehicle in front,Rectangular,Blue,White,Other,None,None,2934,2934V.jpg,2934V.eps,2934V.pdf
Motorway signs,"End of motorway regulations, including the national speed limit in 1 mile","End of motorway regulations, including the national speed limit in 1 mile",Rectangular,Blue,White,Number (Distance),Other,None,2930,2930.jpg,2930.eps,2930.pdf
Motorway signs,"End of motorway regulations, including the national speed limit","End of motorway regulations, including the national speed limit",Rectangular,Blue,White,None,Other,None,2931,2931.jpg,2931.eps,2931.pdf
Motorway signs,"Entrance to motorway service area, or similar facility within the length of a motorway where motorway regulations cease to apply","Entrance to motorway service area, or similar facility within the length of a motorway where motorway regulations cease to apply",Rectangular,Blue,White,Other,None,None,2932,2932.jpg,2932.eps,2932.pdf
Motorway signs,Light signal conveying the prohibition that vehicular traffic may not use the lane below the sign (gantry-mounted),Light signal conveying the prohibition that vehicular traffic may not use the lane below the sign (gantry-mounted),,,,,,,6031.1,6031.1.jpg,6031.1.eps,6031.1.pdf
Motorway signs,Closure of one lane of a four lane carriageway ahead,Closure of one lane of a four lane carriageway ahead,,,,,,,6009,6009.jpg,6009.eps,6009.pdf
Motorway signs,Closure of one lane of a three lane carriageway ahead,Closure of one lane of a three lane carriageway ahead,,,,,,,6006,6006.jpg,6006.eps,6006.pdf
Motorway signs,Closure of right hand lane of a two lane carriageway ahead,Closure of right hand lane of a two lane carriageway ahead,,,,,,,6008,6008.jpg,6008.eps,6008.pdf
Motorway signs,Closure of two lanes of a three lane carriageway ahead,Closure of two lanes of a three lane carriageway ahead,,,,,,,6006.1,6006.1.jpg,6006.1.eps,6006.1.pdf
Motorway signs,Temporary maximum speed of 50 miles per hour advised,Temporary maximum speed of 50 miles per hour advised,,,,,,,6001,6001.jpg,6001.eps,6001.pdf
Motorway signs,Closure of all lanes of a four lane carriageway ahead,Closure of all lanes of a four lane carriageway ahead,,,,,,,6009.3,6009.3.jpg,6009.3.eps,6009.3.pdf
Motorway signs,Closure of all lanes of a three lane carriageway ahead,Closure of all lanes of a three lane carriageway ahead,,,,,,,6006.2,6006.2.jpg,6006.2.eps,6006.2.pdf
Motorway signs,Closure of both lanes of a two lane carriageway ahead,Closure of both lanes of a two lane carriageway ahead,,,,,,,6008.1,6008.1.jpg,6008.1.eps,6008.1.pdf
Motorway signs,End of temporary restrictions indicated by previous signs,End of temporary restrictions indicated by previous signs,,,,,,,6012,6012.jpg,6012.eps,Not available
Motorway signs,Risk of fog ahead,Risk of fog ahead,,,,,,,6011,6011.jpg,6011.eps,6011.pdf
Motorway signs,Risk of ice ahead,Risk of ice ahead,,,,,,,6011.1,6011.1.jpg,6011.1.eps,6011.1.pdf
Motorway signs,Vehicular traffic must leave at next junction,Vehicular traffic must leave at next junction,,,,,,,6003,6003.jpg,6003.eps,6003.pdf
Direction and tourist signs,100 yards to a roundabout or the next point at which traffic may leave a primary route,100 yards to a roundabout or the next point at which traffic may leave a primary route,Rectangular,Blue,White,None,Other,Other,823,825V.jpg,825V.eps,825V.pdf
