Category,Description,Caption,Shape,BGColour,BDColour,Text,Symbol1,Symbol2,DGNo,JPG,EPS,PDF
Direction and tourist signs,Tourist symbol for England and Wales: farm park,Tourist symbol for England and Wales: farm park,Rectangle,Brown,Brown,None,Other,Other,0,T119.jpg,T119.eps,T119.pdf
Direction and tourist signs,Direction to tourist attraction indicated by a symbol,Direction to tourist attraction indicated by a symbol,Rectangular,Brown,White,None,Vehicle (Car/Tram/Truck),Arrow,2208,2208.jpg,2208.eps,2208.pdf
Direction and tourist signs,Tourist symbol for England and Wales: House of historic or architectural importance,Tourist symbol for England and Wales: House of historic or architectural importance,Rectangle,Brown,Brown,None,Other,Other,0,T3.jpg,T3.eps,T3.pdf
Direction and tourist signs,Direction and distance to a tourist attraction,Direction and distance to a tourist attraction,Rectangular,Brown,White,Number (Distance),Arrow,None,2203,2203.jpg,2203.eps,2203.pdf
Direction and tourist signs,Tourist symbol for England only : museum or art gallery,Tourist symbol for England only : museum or art gallery,Rectangle,Brown,Brown,None,Other,Other,0,T203.jpg,T203.eps,Not available
Direction and tourist signs,Tourist symbol for England and Wales: national Trust property,Tourist symbol for England and Wales: national Trust property,Rectangle,Brown,Brown,None,Other,Other,0,T101.jpg,T101.eps,Not available
Direction and tourist signs,Tourist symbol for England and Wales: nature reserve,Tourist symbol for England and Wales: nature reserve,Rectangle,Brown,Brown,None,Other,Other,0,T115.jpg,T115.eps,T115.pdf
Direction and tourist signs,Tourist symbol for England and Wales: site with Roman remains,Tourist symbol for England and Wales: site with Roman remains,Rectangle,Brown,Brown,None,Other,Other,0,T127.jpg,T127.eps,Not available
Direction and tourist signs,Tourist symbol for England and Wales: safari park,Tourist symbol for England and Wales: safari park,Rectangle,Brown,Brown,None,Other,Other,0,T153.jpg,T153.eps,T153.pdf
Direction and tourist signs,Tourist symbol for England and Wales: peasure or theme park,Tourist symbol for England and Wales: peasure or theme park,Rectangle,Brown,Brown,None,Other,Other,0,T114.jpg,T114.eps,Not available
